2026-02-10T04:22:41.163705Z  INFO     [190s] 375840 packets (1981 pps), 19.71 MB | phase: 110s remaining
2026-02-10T04:22:46.164208Z  INFO     [195s] 385739 packets (1979 pps), 20.23 MB | phase: 105s remaining
2026-02-10T04:22:51.164523Z  INFO     [200s] 395621 packets (1976 pps), 20.75 MB | phase: 100s remaining
2026-02-10T04:22:56.164702Z  INFO     [205s] 405514 packets (1978 pps), 21.27 MB | phase: 95s remaining
2026-02-10T04:23:01.165210Z  INFO     [210s] 415426 packets (1982 pps), 21.79 MB | phase: 90s remaining
2026-02-10T04:23:06.165696Z  INFO     [215s] 425294 packets (1973 pps), 22.31 MB | phase: 85s remaining
2026-02-10T04:23:11.166092Z  INFO     [220s] 435181 packets (1977 pps), 22.83 MB | phase: 80s remaining
2026-02-10T04:23:16.166307Z  INFO     [225s] 445040 packets (1971 pps), 23.34 MB | phase: 75s remaining
2026-02-10T04:23:21.166452Z  INFO     [230s] 454936 packets (1979 pps), 23.86 MB | phase: 70s remaining
2026-02-10T04:23:26.166515Z  INFO     [235s] 464823 packets (1977 pps), 24.38 MB | phase: 65s remaining
2026-02-10T04:23:31.166702Z  INFO     [240s] 474749 packets (1985 pps), 24.90 MB | phase: 60s remaining
2026-02-10T04:23:36.167211Z  INFO     [245s] 484639 packets (1978 pps), 25.42 MB | phase: 55s remaining
2026-02-10T04:23:41.167701Z  INFO     [250s] 494526 packets (1977 pps), 25.94 MB | phase: 50s remaining
2026-02-10T04:23:46.168205Z  INFO     [255s] 504418 packets (1978 pps), 26.46 MB | phase: 45s remaining
2026-02-10T04:23:51.168711Z  INFO     [260s] 514315 packets (1979 pps), 26.98 MB | phase: 40s remaining
2026-02-10T04:23:56.168857Z  INFO     [265s] 524217 packets (1980 pps), 27.50 MB | phase: 35s remaining
2026-02-10T04:24:01.169077Z  INFO     [270s] 534108 packets (1978 pps), 28.02 MB | phase: 30s remaining
2026-02-10T04:24:06.169361Z  INFO     [275s] 544009 packets (1980 pps), 28.53 MB | phase: 25s remaining
2026-02-10T04:24:11.169697Z  INFO     [280s] 553890 packets (1976 pps), 29.05 MB | phase: 20s remaining
2026-02-10T04:24:16.170221Z  INFO     [285s] 563771 packets (1976 pps), 29.57 MB | phase: 15s remaining
2026-02-10T04:24:21.170702Z  INFO     [290s] 573685 packets (1982 pps), 30.09 MB | phase: 10s remaining
2026-02-10T04:24:26.171081Z  INFO     [295s] 583582 packets (1979 pps), 30.61 MB | phase: 5s remaining
2026-02-10T04:24:31.149208Z  INFO >>> [300s] PHASE 2: probe (Attack, 50000 pps, 30s)
2026-02-10T04:24:31.171102Z  INFO     [300s] 617805 packets (6844 pps), 32.41 MB | phase: 30s remaining
2026-02-10T04:24:36.171136Z  INFO     [305s] 7042339 packets (1284906 pps), 369.39 MB | phase: 25s remaining
2026-02-10T04:24:41.171172Z  INFO     [310s] 13341507 packets (1259833 pps), 699.79 MB | phase: 20s remaining
2026-02-10T04:24:46.171206Z  INFO     [315s] 19083323 packets (1148363 pps), 1000.96 MB | phase: 15s remaining
2026-02-10T04:24:51.171236Z  INFO     [320s] 25521335 packets (1287602 pps), 1338.65 MB | phase: 10s remaining
2026-02-10T04:24:56.171268Z  INFO     [325s] 32048812 packets (1305495 pps), 1681.03 MB | phase: 5s remaining
2026-02-10T04:25:01.149242Z  INFO >>> [330s] PHASE 3: calm1 (Normal, 2000 pps, 240s)
2026-02-10T04:25:01.171531Z  INFO     [330s] 38497761 packets (1289789 pps), 2019.29 MB | phase: 240s remaining
2026-02-10T04:25:06.171700Z  INFO     [335s] 38507657 packets (1979 pps), 2019.81 MB | phase: 235s remaining
2026-02-10T04:25:11.171765Z  INFO     [340s] 38517530 packets (1974 pps), 2020.32 MB | phase: 230s remaining
2026-02-10T04:25:16.172203Z  INFO     [345s] 38527413 packets (1976 pps), 2020.84 MB | phase: 225s remaining
2026-02-10T04:25:21.172540Z  INFO     [350s] 38537320 packets (1981 pps), 2021.36 MB | phase: 220s remaining
2026-02-10T04:25:26.172710Z  INFO     [355s] 38547262 packets (1988 pps), 2021.88 MB | phase: 215s remaining
2026-02-10T04:25:31.173217Z  INFO     [360s] 38557155 packets (1978 pps), 2022.40 MB | phase: 210s remaining
2026-02-10T04:25:36.173454Z  INFO     [365s] 38567044 packets (1977 pps), 2022.92 MB | phase: 205s remaining
2026-02-10T04:25:41.173702Z  INFO     [370s] 38576947 packets (1980 pps), 2023.44 MB | phase: 200s remaining
2026-02-10T04:25:46.174032Z  INFO     [375s] 38586837 packets (1978 pps), 2023.96 MB | phase: 195s remaining
2026-02-10T04:25:51.174211Z  INFO     [380s] 38596714 packets (1975 pps), 2024.48 MB | phase: 190s remaining
2026-02-10T04:25:56.174580Z  INFO     [385s] 38606624 packets (1982 pps), 2025.00 MB | phase: 185s remaining
2026-02-10T04:26:01.174705Z  INFO     [390s] 38616511 packets (1977 pps), 2025.52 MB | phase: 180s remaining
2026-02-10T04:26:06.175015Z  INFO     [395s] 38626413 packets (1980 pps), 2026.04 MB | phase: 175s remaining
2026-02-10T04:26:11.175212Z  INFO     [400s] 38636330 packets (1983 pps), 2026.56 MB | phase: 170s remaining
2026-02-10T04:26:16.175706Z  INFO     [405s] 38646219 packets (1977 pps), 2027.07 MB | phase: 165s remaining
2026-02-10T04:26:21.176208Z  INFO     [410s] 38656101 packets (1976 pps), 2027.59 MB | phase: 160s remaining
2026-02-10T04:26:26.176693Z  INFO     [415s] 38665993 packets (1978 pps), 2028.11 MB | phase: 155s remaining
2026-02-10T04:26:31.177213Z  INFO     [420s] 38675872 packets (1975 pps), 2028.63 MB | phase: 150s remaining
2026-02-10T04:26:36.177535Z  INFO     [425s] 38685783 packets (1982 pps), 2029.15 MB | phase: 145s remaining
2026-02-10T04:26:41.177709Z  INFO     [430s] 38695678 packets (1979 pps), 2029.67 MB | phase: 140s remaining
2026-02-10T04:26:46.178212Z  INFO     [435s] 38705571 packets (1978 pps), 2030.19 MB | phase: 135s remaining
2026-02-10T04:26:51.178700Z  INFO     [440s] 38715458 packets (1977 pps), 2030.71 MB | phase: 130s remaining
2026-02-10T04:26:56.179207Z  INFO     [445s] 38725351 packets (1978 pps), 2031.23 MB | phase: 125s remaining
2026-02-10T04:27:01.179708Z  INFO     [450s] 38735254 packets (1980 pps), 2031.74 MB | phase: 120s remaining
2026-02-10T04:27:06.180215Z  INFO     [455s] 38745141 packets (1977 pps), 2032.26 MB | phase: 115s remaining
2026-02-10T04:27:11.180690Z  INFO     [460s] 38755035 packets (1978 pps), 2032.78 MB | phase: 110s remaining
2026-02-10T04:27:16.180950Z  INFO     [465s] 38764918 packets (1976 pps), 2033.30 MB | phase: 105s remaining
2026-02-10T04:27:21.181199Z  INFO     [470s] 38774773 packets (1971 pps), 2033.82 MB | phase: 100s remaining
2026-02-10T04:27:26.181704Z  INFO     [475s] 38784628 packets (1971 pps), 2034.33 MB | phase: 95s remaining
2026-02-10T04:27:31.182205Z  INFO     [480s] 38794474 packets (1969 pps), 2034.85 MB | phase: 90s remaining
2026-02-10T04:27:36.182718Z  INFO     [485s] 38804329 packets (1971 pps), 2035.37 MB | phase: 85s remaining
2026-02-10T04:27:41.183220Z  INFO     [490s] 38814219 packets (1978 pps), 2035.89 MB | phase: 80s remaining
2026-02-10T04:27:46.183570Z  INFO     [495s] 38824061 packets (1968 pps), 2036.40 MB | phase: 75s remaining
2026-02-10T04:27:51.183706Z  INFO     [500s] 38833990 packets (1985 pps), 2036.92 MB | phase: 70s remaining
2026-02-10T04:27:56.184218Z  INFO     [505s] 38843877 packets (1977 pps), 2037.44 MB | phase: 65s remaining
2026-02-10T04:28:01.184700Z  INFO     [510s] 38853782 packets (1981 pps), 2037.96 MB | phase: 60s remaining
2026-02-10T04:28:06.185214Z  INFO     [515s] 38863683 packets (1980 pps), 2038.48 MB | phase: 55s remaining
2026-02-10T04:28:11.185341Z  INFO     [520s] 38873585 packets (1980 pps), 2039.00 MB | phase: 50s remaining
2026-02-10T04:28:16.185704Z  INFO     [525s] 38883468 packets (1976 pps), 2039.52 MB | phase: 45s remaining
2026-02-10T04:28:21.185965Z  INFO     [530s] 38893365 packets (1979 pps), 2040.04 MB | phase: 40s remaining
2026-02-10T04:28:26.186215Z  INFO     [535s] 38903186 packets (1964 pps), 2040.55 MB | phase: 35s remaining
2026-02-10T04:28:31.186622Z  INFO     [540s] 38913055 packets (1973 pps), 2041.07 MB | phase: 30s remaining
2026-02-10T04:28:36.186702Z  INFO     [545s] 38922933 packets (1975 pps), 2041.59 MB | phase: 25s remaining
2026-02-10T04:28:41.187211Z  INFO     [550s] 38932839 packets (1981 pps), 2042.11 MB | phase: 20s remaining
2026-02-10T04:28:46.187697Z  INFO     [555s] 38942737 packets (1979 pps), 2042.63 MB | phase: 15s remaining
2026-02-10T04:28:51.188214Z  INFO     [560s] 38952597 packets (1972 pps), 2043.15 MB | phase: 10s remaining
2026-02-10T04:28:56.188702Z  INFO     [565s] 38962458 packets (1972 pps), 2043.66 MB | phase: 5s remaining
